Date, Open, High, Low, Close, Volume
09/25/15, 629.77, 629.77, 611.00, 611.97, 2174009
09/24/15, 616.64, 627.32, 612.40, 625.80, 2240098
09/23/15, 622.05, 628.93, 620.00, 622.36, 1470949
09/22/15, 627.00, 627.55, 615.43, 622.69, 2562869
09/21/15, 634.40, 636.49, 625.94, 635.44, 1788506
09/18/15, 636.79, 640.00, 627.02, 629.25, 5133386
09/17/15, 637.79, 650.90, 635.02, 642.90, 2274690
09/16/15, 635.47, 637.95, 632.32, 635.98, 1286454
09/15/15, 626.70, 638.70, 623.78, 635.14, 2084397
09/14/15, 625.70, 625.86, 619.43, 623.24, 1702271
09/11/15, 619.75, 625.78, 617.42, 625.77, 1373545
09/10/15, 613.10, 624.16, 611.43, 621.35, 1905276
09/09/15, 621.22, 626.52, 609.60, 612.72, 1702094
09/08/15, 612.49, 616.31, 604.12, 614.66, 2279538
09/04/15, 600.00, 603.47, 595.25, 600.70, 2089453
09/03/15, 617.00, 619.71, 602.8213, 606.25, 1759572
09/02/15, 605.59, 614.34, 599.71, 614.34, 2575620
09/01/15, 602.36, 612.86, 594.10, 597.79, 3702105
08/31/15, 627.54, 635.80, 617.68, 618.25, 2176737
08/28/15, 632.82, 636.88, 624.56, 630.38, 1978733
08/27/15, 639.40, 643.59, 622.00, 637.61, 3491336
08/26/15, 610.35, 631.71, 599.05, 628.62, 4235891
08/25/15, 614.91, 617.45, 581.11, 582.06, 3537966
08/24/15, 573.00, 614.00, 565.05, 589.61, 5770302
08/21/15, 639.78, 640.05, 612.33, 612.48, 4265183
08/20/15, 655.46, 662.99, 642.90, 646.83, 2855299
08/19/15, 656.60, 667.00, 654.19, 660.90, 2134098
08/18/15, 661.90, 664.00, 653.46, 656.13, 1456059
08/17/15, 656.80, 661.38, 651.24, 660.87, 1051699
08/14/15, 655.01, 659.855, 652.66, 657.12, 1072061
08/13/15, 659.323, 664.50, 651.661, 656.45, 1810749
08/12/15, 663.08, 665.00, 652.29, 659.56, 2940803
08/11/15, 669.20, 674.90, 654.27, 660.78, 5029203
08/10/15, 639.48, 643.44, 631.249, 633.73, 1809205
08/07/15, 640.23, 642.68, 629.71, 635.30, 1403865
08/06/15, 645.00, 645.379, 632.25, 642.68, 1572600
08/05/15, 634.33, 647.86, 633.16, 643.78, 2334266
08/04/15, 628.42, 634.81, 627.16, 629.25, 1490881
08/03/15, 625.34, 633.0556, 625.34, 631.21, 1304511
07/31/15, 631.38, 632.91, 625.50, 625.61, 1706149
07/30/15, 630.00, 635.22, 622.05, 632.59, 1474203
07/29/15, 628.80, 633.36, 622.65, 631.93, 1575069
07/28/15, 632.83, 632.83, 623.31, 628.00, 1727327
07/27/15, 621.00, 634.30, 620.50, 627.26, 2675381
07/24/15, 647.00, 648.17, 622.52, 623.56, 3625747
07/23/15, 661.27, 663.63, 641.00, 644.28, 3029109
07/22/15, 660.89, 678.64, 659.00, 662.10, 3929309
07/21/15, 655.21, 673.00, 654.30, 662.30, 3377196
07/20/15, 659.24, 668.88, 653.01, 663.02, 5860872
07/17/15, 649.00, 674.468, 645.00, 672.93, 11164940
07/16/15, 565.12, 580.68, 565.00, 579.85, 4768318
07/15/15, 560.13, 566.5029, 556.79, 560.22, 1784554
07/14/15, 546.76, 565.8487, 546.71, 561.10, 3244066
07/13/15, 532.88, 547.11, 532.4001, 546.55, 2206475
07/10/15, 526.29, 532.56, 525.55, 530.13, 1956682
07/09/15, 523.12, 523.77, 520.35, 520.68, 1842347
07/08/15, 521.05, 522.734, 516.11, 516.83, 1296699
07/07/15, 523.13, 526.18, 515.18, 525.02, 1597229
07/06/15, 519.50, 525.25, 519.00, 522.86, 1280525
07/02/15, 521.08, 524.65, 521.08, 523.40, 1235903
07/01/15, 524.73, 525.69, 518.2305, 521.84, 1961354
06/30/15, 526.02, 526.25, 520.50, 520.51, 2235595
06/29/15, 525.01, 528.61, 520.54, 521.52, 1937821
06/26/15, 537.26, 537.76, 531.35, 531.69, 2109130
06/25/15, 538.87, 540.90, 535.23, 535.23, 1335697
06/24/15, 540.00, 540.00, 535.66, 537.84, 1286608
06/23/15, 539.64, 541.499, 535.25, 540.48, 1197450
06/22/15, 539.59, 543.74, 537.53, 538.19, 1250282
06/19/15, 537.21, 538.25, 533.01, 536.69, 1893497
06/18/15, 531.00, 538.15, 530.79, 536.73, 1833109
06/17/15, 529.37, 530.98, 525.10, 529.26, 1294216
06/16/15, 528.40, 529.6399, 525.56, 528.15, 1071814
06/15/15, 528.00, 528.30, 524.00, 527.20, 1632702
06/12/15, 531.60, 533.12, 530.16, 532.33, 955789
06/11/15, 538.425, 538.98, 533.02, 534.61, 1217536
06/10/15, 529.36, 538.36, 529.35, 536.69, 1814958
06/09/15, 527.56, 529.20, 523.01, 526.69, 1455266
06/08/15, 533.31, 534.12, 526.24, 526.83, 1524139
06/05/15, 536.35, 537.20, 532.52, 533.33, 1388220
06/04/15, 537.76, 540.59, 534.32, 536.70, 1348337
06/03/15, 539.91, 543.50, 537.11, 540.31, 1717036
06/02/15, 532.93, 543.00, 531.33, 539.18, 1938989
06/01/15, 536.79, 536.79, 529.76, 533.99, 1904332
05/29/15, 537.37, 538.63, 531.45, 532.11, 2597407
05/28/15, 538.01, 540.61, 536.25, 539.78, 1029849
05/27/15, 532.80, 540.55, 531.71, 539.79, 1525019
05/26/15, 538.12, 539.00, 529.88, 532.32, 2406512
05/22/15, 540.15, 544.19, 539.51, 540.11, 1176214
05/21/15, 537.95, 543.8399, 535.98, 542.51, 1462695
05/20/15, 538.49, 542.92, 532.972, 539.27, 1430826
05/19/15, 533.98, 540.66, 533.04, 537.36, 1966947
05/18/15, 532.01, 534.82, 528.85, 532.30, 2003421
05/15/15, 539.18, 539.2743, 530.38, 533.85, 1971343
05/14/15, 533.77, 539.00, 532.41, 538.40, 1403935
05/13/15, 530.56, 534.3215, 528.655, 529.62, 1253063
05/12/15, 531.60, 533.2089, 525.26, 529.04, 1634174
05/11/15, 538.37, 541.98, 535.40, 535.70, 905285
05/08/15, 536.65, 541.15, 536.00, 538.22, 1527615
05/07/15, 523.99, 533.46, 521.75, 530.70, 1546278
05/06/15, 531.24, 532.38, 521.085, 524.22, 1566987
05/05/15, 538.21, 539.74, 530.3906, 530.80, 1383068
05/04/15, 538.53, 544.07, 535.06, 540.78, 1307960
05/01/15, 538.43, 539.54, 532.10, 537.90, 1768181
04/30/15, 547.87, 548.59, 535.05, 537.34, 2082214
04/29/15, 550.47, 553.68, 546.905, 549.08, 1698761
04/28/15, 554.64, 556.02, 550.366, 553.68, 1490983
04/27/15, 563.39, 565.95, 553.2001, 555.37, 2398039
04/24/15, 564.5494, 569.5757, 555.7238, 563.5123, 4932541.29312804
04/23/15, 539.5182, 549.451, 538.7504, 545.5018, 4184838.08248501
04/22/15, 532.9363, 539.598, 530.2936, 537.8876, 1593613.31165369
04/21/15, 536.0378, 537.9127, 532.2133, 532.5074, 1844720.84382567
04/20/15, 524.1604, 534.6217, 523.0634, 533.9136, 1680089.08222705
04/17/15, 527.212, 528.3888, 519.583, 522.6146, 2151848.75975235
04/16/15, 528.4486, 534.1231, 528.1594, 532.338, 1299864.02640443
04/15/15, 527.2519, 533.2653, 521.7869, 531.0714, 2318863.04469752
04/14/15, 534.7812, 536.0976, 526.6461, 528.9373, 2604175.2291733
04/13/15, 536.9352, 542.5699, 535.8383, 537.6932, 1645315.87321555
04/10/15, 540.8046, 540.8046, 535.8383, 538.531, 1409434.02896186
04/09/15, 539.5482, 540.4656, 534.0232, 539.2988, 1557853.40105423
04/08/15, 536.9054, 542.3603, 536.9054, 540.1266, 1178559.89581618
04/07/15, 536.6062, 541.2036, 534.5319, 535.5491, 1302866.24648
04/06/15, 530.7623, 536.9352, 528.1195, 535.2948, 1324394.18996774
04/02/15, 539.3687, 539.3687, 532.3846, 534.0632, 1716438.60719005
04/01/15, 547.0973, 549.6305, 538.0224, 541.0739, 1963094.95201552
03/31/15, 548.4936, 553.1907, 545.2225, 546.4991, 1588026.01363731
03/30/15, 550.1092, 551.9541, 546.6685, 550.518, 1287484.13026117
03/27/15, 551.4854, 553.7591, 546.6287, 546.8381, 1897520.40898227
03/26/15, 556.0628, 557.3692, 549.1418, 553.6493, 1572638.88369091
03/25/15, 568.9375, 570.6927, 557.2096, 557.2544, 2152278.93757881
03/24/15, 561.0191, 573.0163, 559.6729, 568.6283, 2583310.10047178
03/23/15, 558.8949, 560.8197, 554.3076, 557.2794, 1643808.74670467
03/20/15, 560.1117, 560.1815, 557.5187, 558.8252, 2616856.95171694
03/19/15, 557.8579, 559.2639, 554.6218, 556.4616, 1197328.28364329
03/18/15, 550.9868, 558.2468, 545.5018, 557.9676, 2134560.42430719
03/17/15, 550.1989, 552.2831, 546.4991, 549.3313, 1805515.49963248
03/16/15, 549.441, 555.3247, 544.5046, 552.9913, 1640988.02356754
03/13/15, 551.984, 556.8706, 542.7294, 545.8209, 1703538.28612387
03/12/15, 551.994, 554.8462, 548.9523, 553.9885, 1389577.66224966
03/11/15, 553.6195, 556.6113, 549.1717, 549.6703, 1820750.21226042
03/10/15, 562.7046, 563.3028, 553.2106, 553.4899, 1792266.22312665
03/09/15, 565.3073, 568.7081, 561.9914, 567.2919, 1062245.42691665
03/06/15, 573.3055, 575.1004, 565.2077, 566.1301, 1659005.35500299
03/05/15, 573.4451, 576.3271, 571.8394, 573.7542, 1389623.78854341
03/04/15, 570.3036, 575.5293, 566.4543, 571.7995, 1876834.77172816
03/03/15, 568.8876, 573.8141, 564.9684, 572.0689, 1704753.61368953
03/02/15, 558.9948, 570.583, 557.2196, 569.7752, 2129628.92185842
02/27/15, 552.7219, 563.1633, 551.3857, 556.8706, 2410153.99923976
02/26/15, 541.7222, 554.6168, 540.0169, 553.9586, 2311550.02164772
02/25/15, 534.4322, 544.724, 533.9785, 542.3803, 1826042.70309503
02/24/15, 528.5484, 535.3198, 526.8032, 534.6217, 1005146.0889865
02/23/15, 534.5817, 534.9697, 527.96, 530.4531, 1457899.72799736
02/20/15, 541.6424, 542.2607, 534.3324, 537.4739, 1445169.87366894
02/19/15, 536.5663, 541.6224, 536.5364, 541.383, 990190.039337516
02/18/15, 539.9171, 543.996, 536.0378, 538.2218, 1453068.50010021
02/17/15, 545.3323, 548.4936, 539.608, 541.3532, 1616867.98292037
02/13/15, 541.8618, 548.4037, 541.6424, 547.5063, 1900331.10466424
02/12/15, 535.7785, 543.3278, 533.2086, 541.4429, 1620261.27374726
02/11/15, 533.8339, 536.9752, 531.9166, 534.502, 1377743.25966723
02/10/15, 527.8503, 536.2273, 525.4768, 535.4694, 1749869.13995533
02/09/15, 526.5538, 530.5429, 524.5793, 526.3843, 1267748.09301092
02/06/15, 526.1948, 535.7286, 524.9682, 529.5456, 1763480.40759251
02/05/15, 522.3554, 527.0525, 520.66, 526.135, 1849753.62357159
02/04/15, 527.7904, 531.2125, 519.8423, 521.3282, 1663681.15734513
02/03/15, 526.5538, 531.9391, 521.8268, 527.7904, 2038668.87333653
02/02/15, 530.2736, 531.5401, 517.1297, 527.0325, 2849781.69944329
01/30/15, 514.4471, 538.3913, 514.108, 533.056, 5606332.13177046
01/29/15, 509.6004, 509.6901, 499.8272, 509.2613, 4186390.33254412
01/28/15, 521.3481, 521.5576, 508.6031, 508.6031, 1683842.35869426
01/27/15, 528.5184, 529.2464, 516.7707, 517.2095, 1904059.31249355
01/26/15, 537.055, 537.5237, 528.2192, 533.7441, 1543751.79085962
01/23/15, 534.1231, 540.685, 531.5401, 538.4711, 2281734.38646842
01/22/15, 520.0517, 534.861, 518.2766, 532.9263, 2676890.32302756
01/21/15, 505.8607, 517.8577, 504.8135, 516.6211, 2268668.61239206
01/20/15, 509.6004, 511.0963, 504.63, 505.5116, 2232035.31044797
01/16/15, 498.6406, 506.7981, 498.6305, 506.6884, 2298337.846726
01/15/15, 504.1853, 504.295, 496.3967, 500.4156, 2718801.07462352
01/14/15, 493.2952, 501.8517, 491.6497, 499.4981, 2235761.51278625
01/13/15, 497.4737, 501.6023, 491.0413, 494.821, 2372184.03752255
01/12/15, 493.5844, 494.6176, 486.2246, 491.2009, 2326818.82762321
01/09/15, 503.3776, 503.537, 493.4348, 494.811, 2071388.45953081
01/08/15, 496.626, 502.101, 489.6551, 501.3032, 3353580.09895736
01/07/15, 505.6113, 505.8547, 498.2815, 499.7275, 2065022.02824832
01/06/15, 513.5894, 514.7612, 499.6776, 500.5851, 2899892.90387091
01/05/15, 521.8268, 522.8939, 511.6547, 512.4625, 2059879.94924114
01/02/15, 527.5611, 529.8149, 522.6645, 523.3725, 1450634.83673234
12/31/14, 529.7949, 531.1412, 524.3599, 524.9582, 1375586.35406184
12/30/14, 526.6436, 529.6952, 525.6862, 528.9672, 876323.171968527
12/29/14, 530.7324, 534.0134, 528.5593, 528.8775, 2282355.08594296
12/26/14, 527.3217, 532.7867, 525.8657, 532.5673, 1040577.09905664
12/24/14, 529.057, 530.3025, 525.5765, 527.3217, 705968.641434278
12/23/14, 525.5566, 533.0959, 524.8485, 529.1367, 2197585.98823821
